Capacitance,Inductance,Resonance Frequency
7.36E-16,1.01822E-09,1.83848E+11
7.29E-16,9.73186E-10,1.88955E+11
1.22E-15,1.15911E-09,1.33838E+11
5.91E-16,9.61674E-10,2.11112E+11
9.84E-16,1.07125E-09,1.55016E+11
1.24E-15,1.19864E-09,1.30546E+11
1.69E-15,1.04792E-09,1.19595E+11
7.72E-16,1.38485E-09,1.53925E+11
1.16E-15,1.02428E-09,1.4601E+11
1.05E-15,1.03447E-09,1.5271E+11
1.06E-15,9.78012E-10,1.56313E+11
1.19E-15,1.15023E-09,1.36036E+11
4.80E-16,1.31098E-09,2.00633E+11
1.18E-15,1.35038E-09,1.26081E+11
1.11E-15,1.46354E-09,1.2487E+11
9.78E-16,9.88142E-10,1.61898E+11
8.78E-16,1.0595E-09,1.65015E+11
8.68E-16,1.08155E-09,1.64262E+11
1.60E-15,1.07791E-09,1.21191E+11
1.75E-15,1.15658E-09,1.1187E+11
1.10E-15,1.1325E-09,1.42595E+11
6.87E-16,1.05335E-09,1.87092E+11
7.74E-16,1.01785E-09,1.79312E+11
8.12E-16,1.22678E-09,1.59462E+11
9.90E-16,1.30893E-09,1.39812E+11
1.20E-15,1.20039E-09,1.32607E+11
1.11E-15,1.03025E-09,1.48829E+11
1.01E-15,1.38429E-09,1.346E+11
1.29E-15,1.25409E-09,1.2513E+11
1.24E-15,1.50959E-09,1.16327E+11
1.23E-15,1.43438E-09,1.19822E+11
8.03E-16,1.24598E-09,1.59114E+11
1.16E-15,1.2744E-09,1.309E+11
9.78E-16,1.19851E-09,1.47004E+11
1.40E-15,9.86159E-10,1.35451E+11
9.66E-16,1.27243E-09,1.43554E+11
8.49E-16,1.10315E-09,1.64456E+11
6.50E-16,1.00132E-09,1.97278E+11
9.65E-16,1.1561E-09,1.50681E+11
9.63E-16,1.166E-09,1.50196E+11
9.49E-16,1.13086E-09,1.53632E+11
7.85E-16,1.02059E-09,1.77812E+11
9.01E-16,1.02347E-09,1.65737E+11
1.76E-15,1.03203E-09,1.18091E+11
1.41E-15,1.2823E-09,1.18363E+11
1.10E-15,1.22117E-09,1.3732E+11
1.23E-15,1.04109E-09,1.40645E+11
1.15E-15,1.03404E-09,1.4595E+11
5.20E-16,1.11257E-09,2.09245E+11
6.78E-16,1.32147E-09,1.68142E+11
8.36E-16,1.26509E-09,1.54759E+11
1.26E-15,1.21744E-09,1.28502E+11
1.17E-15,1.59686E-09,1.16438E+11
1.12E-15,1.25296E-09,1.34352E+11
3.55E-16,1.05625E-09,2.5991E+11
5.94E-16,1.09031E-09,1.97766E+11
1.13E-15,1.02469E-09,1.47906E+11
7.05E-16,1.26464E-09,1.68555E+11
1.14E-15,1.2006E-09,1.3604E+11
1.05E-15,1.13274E-09,1.45935E+11
7.39E-16,1.00233E-09,1.84924E+11
9.23E-16,1.33067E-09,1.4361E+11
9.47E-16,1.07045E-09,1.58074E+11
8.71E-16,1.09776E-09,1.62763E+11
1.36E-15,1.07342E-09,1.31724E+11
1.86E-15,1.00064E-09,1.16661E+11
6.12E-16,1.08979E-09,1.94882E+11
1.34E-15,1.14953E-09,1.28236E+11
6.90E-16,1.09268E-09,1.83294E+11
1.09E-15,1.0087E-09,1.51784E+11
1.31E-15,1.43151E-09,1.16222E+11
6.64E-16,1.06334E-09,1.89408E+11
9.93E-16,1.29867E-09,1.40151E+11
1.45E-15,1.37462E-09,1.12732E+11
5.50E-16,1.00771E-09,2.13781E+11
8.36E-16,1.22552E-09,1.57238E+11
1.01E-15,1.32605E-09,1.37524E+11
3.63E-16,1.0773E-09,2.54507E+11
1.03E-15,1.37315E-09,1.33827E+11
1.11E-15,1.07257E-09,1.45863E+11
6.55E-16,1.09321E-09,1.88082E+11
7.41E-16,1.02739E-09,1.82407E+11
9.53E-16,1.04209E-09,1.59706E+11
1.42E-15,1.10418E-09,1.27103E+11
9.43E-16,1.40094E-09,1.3847E+11
1.26E-15,1.18775E-09,1.30099E+11
1.31E-15,1.37506E-09,1.18583E+11
5.36E-16,1.04523E-09,2.12634E+11
6.97E-16,1.29274E-09,1.67667E+11
9.22E-16,1.08338E-09,1.59244E+11
7.12E-16,1.41484E-09,1.58572E+11
9.25E-16,1.32826E-09,1.43585E+11
1.59E-15,1.06585E-09,1.22257E+11
9.23E-16,1.23678E-09,1.48961E+11
8.11E-16,1.27613E-09,1.56445E+11
9.38E-16,1.02638E-09,1.62205E+11
8.64E-16,1.03481E-09,1.68319E+11
9.00E-16,1.2814E-09,1.48203E+11
6.71E-16,1.05916E-09,1.88789E+11
9.47E-16,1.56559E-09,1.30709E+11
9.18E-16,1.53687E-09,1.33992E+11
7.50E-16,1.23459E-09,1.65397E+11
1.32E-15,1.10089E-09,1.32027E+11
9.64E-16,1.31443E-09,1.41388E+11
1.15E-15,1.04733E-09,1.45021E+11
9.20E-16,1.18356E-09,1.52521E+11
1.14E-15,1.21837E-09,1.35045E+11
1.03E-15,1.02453E-09,1.54932E+11
1.09E-15,1.41743E-09,1.28043E+11
1.14E-15,1.05202E-09,1.4533E+11
5.84E-16,1.07118E-09,2.01226E+11
1.32E-15,1.02803E-09,1.36625E+11
1.13E-15,1.23057E-09,1.34967E+11
7.43E-16,1.57995E-09,1.46894E+11
5.50E-16,1.56064E-09,1.71786E+11
7.69E-16,1.15093E-09,1.69174E+11
1.42E-15,1.46252E-09,1.1044E+11
6.91E-16,1.13698E-09,1.79558E+11
1.35E-15,1.27023E-09,1.21538E+11
8.72E-16,1.09373E-09,1.6297E+11
5.75E-16,1.05151E-09,2.04682E+11
7.89E-16,1.04725E-09,1.75088E+11
7.64E-16,1.24337E-09,1.63295E+11
1.29E-15,1.1464E-09,1.30875E+11
9.13E-16,1.09354E-09,1.59282E+11
8.86E-16,1.04604E-09,1.65322E+11
4.85E-16,1.11974E-09,2.15968E+11
8.05E-16,1.20472E-09,1.61614E+11
1.35E-15,1.53624E-09,1.10516E+11
7.86E-16,1.30499E-09,1.57147E+11
8.23E-16,1.26041E-09,1.56266E+11
7.82E-16,1.10925E-09,1.70884E+11
1.36E-15,1.07328E-09,1.31733E+11
9.23E-16,1.0885E-09,1.58783E+11
1.48E-15,1.68188E-09,1.00877E+11
1.03E-15,1.29463E-09,1.37825E+11
1.40E-15,1.2411E-09,1.2074E+11
1.29E-15,1.08508E-09,1.34522E+11
1.15E-15,1.19506E-09,1.35762E+11
8.36E-16,1.19417E-09,1.59288E+11
5.44E-16,1.68915E-09,1.6603E+11
1.08E-15,1.30943E-09,1.33834E+11
1.29E-15,1.24054E-09,1.25811E+11
8.29E-16,1.20438E-09,1.5928E+11
1.30E-15,1.36316E-09,1.19557E+11
6.51E-16,1.62356E-09,1.54809E+11
1.49E-15,1.5432E-09,1.04958E+11
7.25E-16,1.5054E-09,1.52344E+11
7.84E-16,1.15841E-09,1.67005E+11
1.08E-15,1.11209E-09,1.45224E+11
7.91E-16,1.56522E-09,1.43036E+11
9.04E-16,1.42558E-09,1.40198E+11
1.05E-15,1.17414E-09,1.43339E+11
6.94E-16,1.28885E-09,1.68282E+11
1.27E-15,1.08031E-09,1.35876E+11
1.40E-15,1.06375E-09,1.30418E+11
1.35E-15,1.35983E-09,1.17466E+11
1.16E-15,1.12998E-09,1.39013E+11
7.51E-16,1.50382E-09,1.49762E+11
6.03E-16,1.29188E-09,1.80323E+11
6.40E-16,1.20519E-09,1.81218E+11
1.15E-15,1.23651E-09,1.33467E+11
1.26E-15,1.26539E-09,1.26044E+11
1.23E-15,1.19833E-09,1.31093E+11
1.16E-15,1.43995E-09,1.23145E+11
7.61E-16,1.09397E-09,1.74432E+11
7.70E-16,1.11039E-09,1.72122E+11
1.38E-15,1.38247E-09,1.15227E+11
1.12E-15,1.1758E-09,1.3869E+11
7.44E-16,1.40748E-09,1.5553E+11
1.02E-15,1.15952E-09,1.46346E+11
9.23E-16,1.45704E-09,1.37241E+11
9.23E-16,1.08567E-09,1.5899E+11
1.20E-15,1.18027E-09,1.33733E+11
6.41E-16,1.19166E-09,1.82102E+11
7.84E-16,1.10775E-09,1.70781E+11
7.86E-16,1.27226E-09,1.59155E+11
1.13E-15,1.23205E-09,1.34886E+11
7.73E-16,1.11519E-09,1.71418E+11
1.17E-15,1.51076E-09,1.1971E+11
9.05E-16,1.62989E-09,1.31044E+11
5.76E-16,1.19649E-09,1.91714E+11
1.03E-15,1.09659E-09,1.49754E+11
1.52E-15,1.07852E-09,1.24304E+11
1.29E-15,1.21396E-09,1.27181E+11
1.12E-15,1.09942E-09,1.43427E+11
7.80E-16,1.12615E-09,1.69814E+11
8.03E-16,1.25916E-09,1.58279E+11
1.22E-15,1.28098E-09,1.27312E+11
8.28E-16,1.20795E-09,1.5914E+11
1.11E-15,1.1494E-09,1.40904E+11
1.34E-15,1.13362E-09,1.29132E+11
8.76E-16,1.46571E-09,1.40457E+11
1.71E-15,1.66778E-09,94243681706
6.59E-16,1.46112E-09,1.62194E+11
6.65E-16,1.30789E-09,1.70657E+11
1.10E-15,1.45327E-09,1.25878E+11
1.01E-15,1.09517E-09,1.51327E+11
1.03E-15,1.6979E-09,1.2035E+11
3.56E-16,1.4962E-09,2.18072E+11
1.09E-15,1.14774E-09,1.42294E+11
5.99E-16,1.19399E-09,1.88194E+11
1.23E-15,1.09375E-09,1.37217E+11
7.02E-16,1.60733E-09,1.4983E+11
1.19E-15,1.29588E-09,1.28164E+11
7.40E-16,1.11694E-09,1.75061E+11
1.07E-15,1.54573E-09,1.23755E+11
5.77E-16,1.30121E-09,1.83679E+11
1.50E-15,1.48018E-09,1.06811E+11
1.17E-15,1.209E-09,1.33818E+11
1.13E-15,1.10631E-09,1.42345E+11
8.79E-16,1.21521E-09,1.53993E+11
7.30E-16,1.32552E-09,1.61795E+11
8.89E-16,1.23836E-09,1.51686E+11
1.13E-15,1.34537E-09,1.2908E+11
1.25E-15,1.14919E-09,1.32791E+11
9.39E-16,1.45439E-09,1.36191E+11
1.37E-15,1.47178E-09,1.12082E+11
7.71E-16,1.26435E-09,1.61198E+11
9.35E-16,1.26125E-09,1.4656E+11
1.22E-15,1.16723E-09,1.33371E+11
9.90E-16,1.42482E-09,1.34006E+11
1.20E-15,1.24989E-09,1.29955E+11
1.30E-15,1.56272E-09,1.11663E+11
7.21E-16,1.14112E-09,1.75464E+11
1.23E-15,1.39955E-09,1.21304E+11
1.75E-15,1.11934E-09,1.13716E+11
7.40E-16,1.25433E-09,1.65195E+11
8.96E-16,1.17601E-09,1.55046E+11
8.85E-16,1.14016E-09,1.5844E+11
1.27E-15,1.53406E-09,1.14024E+11
8.01E-16,1.15846E-09,1.6522E+11
1.34E-15,1.28804E-09,1.21144E+11
9.55E-16,1.58817E-09,1.29232E+11
8.00E-16,1.15175E-09,1.65804E+11
7.22E-16,1.12776E-09,1.76377E+11
7.88E-16,1.62291E-09,1.40738E+11
1.40E-15,1.42275E-09,1.12769E+11
1.40E-15,1.22849E-09,1.21358E+11
8.33E-16,1.61477E-09,1.37228E+11
1.53E-15,1.60113E-09,1.01686E+11
8.91E-16,1.32525E-09,1.46464E+11
8.38E-16,1.11993E-09,1.64287E+11
1.08E-15,1.18245E-09,1.40837E+11
8.43E-16,1.78258E-09,1.29832E+11
7.60E-16,1.55271E-09,1.4651E+11
1.34E-15,1.18615E-09,1.2624E+11
1.15E-15,1.50126E-09,1.21128E+11
1.01E-15,1.35285E-09,1.36155E+11
9.73E-16,1.73059E-09,1.2265E+11
1.06E-15,1.35094E-09,1.32999E+11
1.10E-15,1.21617E-09,1.37603E+11
7.13E-16,1.13958E-09,1.76564E+11
9.71E-16,1.19663E-09,1.47649E+11
1.29E-15,1.22848E-09,1.26428E+11
7.42E-16,1.38989E-09,1.56721E+11
1.05E-15,1.48909E-09,1.27281E+11
7.37E-16,1.33241E-09,1.60608E+11
1.70E-15,1.27333E-09,1.08175E+11
8.55E-16,1.40005E-09,1.45467E+11
1.01E-15,1.32158E-09,1.37756E+11
9.02E-16,1.4551E-09,1.38922E+11
7.41E-16,1.4596E-09,1.53036E+11
1.13E-15,1.55155E-09,1.20198E+11
6.37E-16,1.20359E-09,1.81766E+11
7.48E-16,1.38493E-09,1.56371E+11
1.19E-15,1.52132E-09,1.18287E+11
7.66E-16,1.2605E-09,1.6197E+11
1.50E-15,1.28596E-09,1.14594E+11
1.17E-15,1.1762E-09,1.35671E+11
7.76E-16,1.25986E-09,1.60964E+11
5.98E-16,1.2827E-09,1.81722E+11
5.75E-16,1.27968E-09,1.85539E+11
8.81E-16,1.40948E-09,1.42824E+11
9.72E-16,1.1493E-09,1.50581E+11
1.19E-15,1.15661E-09,1.3566E+11
9.43E-16,1.25415E-09,1.46349E+11
1.05E-15,1.21699E-09,1.40793E+11
9.08E-16,1.21872E-09,1.51295E+11
1.07E-15,1.51033E-09,1.25196E+11
9.41E-16,1.60785E-09,1.2939E+11
9.09E-16,1.62354E-09,1.31011E+11
9.57E-16,1.25109E-09,1.45452E+11
8.75E-16,1.46283E-09,1.40676E+11
1.14E-15,1.14734E-09,1.39162E+11
8.84E-16,1.31321E-09,1.47716E+11
1.05E-15,1.18284E-09,1.42811E+11
6.98E-16,1.17077E-09,1.76059E+11
8.17E-16,1.68999E-09,1.35446E+11
9.44E-16,1.40097E-09,1.38395E+11
1.03E-15,1.65961E-09,1.2173E+11
8.94E-16,1.63145E-09,1.31785E+11
7.06E-16,1.20491E-09,1.7256E+11
1.57E-15,1.50512E-09,1.03534E+11
6.52E-16,1.73636E-09,1.49581E+11
5.80E-16,1.20952E-09,1.9002E+11
9.44E-16,1.30284E-09,1.43512E+11
1.47E-15,1.17969E-09,1.20858E+11
9.45E-16,1.81082E-09,1.21665E+11
8.44E-16,1.17175E-09,1.60041E+11
7.88E-16,1.62534E-09,1.40632E+11
8.49E-16,1.30935E-09,1.50952E+11
5.67E-16,1.44761E-09,1.75672E+11
8.65E-16,1.61342E-09,1.34722E+11
6.67E-16,1.32542E-09,1.6927E+11
1.10E-15,1.40891E-09,1.27844E+11
9.54E-16,1.2557E-09,1.45413E+11
5.98E-16,1.55626E-09,1.64979E+11
6.65E-16,1.26285E-09,1.73674E+11
9.26E-16,1.7451E-09,1.252E+11
1.44E-15,1.32741E-09,1.15116E+11
6.74E-16,1.19481E-09,1.77354E+11
9.80E-16,1.35962E-09,1.37879E+11
9.23E-16,1.44383E-09,1.37867E+11
9.45E-16,1.56855E-09,1.30724E+11
7.90E-16,1.62635E-09,1.4041E+11
8.47E-16,1.37785E-09,1.47325E+11
1.20E-15,1.52209E-09,1.17763E+11
1.20E-15,1.58175E-09,1.15521E+11
9.21E-16,1.40497E-09,1.39912E+11
1.10E-15,1.28627E-09,1.33801E+11
1.04E-15,1.35901E-09,1.33873E+11
8.51E-16,1.22352E-09,1.55973E+11
6.49E-16,1.26745E-09,1.75482E+11
1.29E-15,1.18847E-09,1.28538E+11
9.02E-16,1.32739E-09,1.45451E+11
1.16E-15,1.30382E-09,1.29414E+11
1.06E-15,1.37037E-09,1.32053E+11
7.91E-16,1.25273E-09,1.59883E+11
9.73E-16,1.37964E-09,1.37367E+11
1.29E-15,1.21598E-09,1.27076E+11
7.74E-16,1.23358E-09,1.62879E+11
1.63E-15,1.24213E-09,1.11852E+11
1.13E-15,1.19136E-09,1.3717E+11
1.15E-15,1.23269E-09,1.33673E+11
1.33E-15,1.55107E-09,1.1081E+11
7.62E-16,1.79851E-09,1.35952E+11
1.26E-15,1.34641E-09,1.22193E+11
6.79E-16,1.2815E-09,1.70619E+11
1.50E-15,1.27439E-09,1.15113E+11
8.96E-16,1.2021E-09,1.53354E+11
7.72E-16,1.60275E-09,1.4308E+11
1.15E-15,1.23038E-09,1.33799E+11
1.07E-15,1.20315E-09,1.40271E+11
1.51E-15,1.38628E-09,1.10003E+11
6.92E-16,1.30942E-09,1.67197E+11
1.14E-15,1.26657E-09,1.3245E+11
7.91E-16,1.87161E-09,1.30805E+11
9.84E-16,1.28367E-09,1.41611E+11
9.80E-16,1.19879E-09,1.46837E+11
7.69E-16,1.44066E-09,1.51208E+11
1.25E-15,1.41837E-09,1.19528E+11
6.28E-16,1.21516E-09,1.82189E+11
8.03E-16,1.37602E-09,1.51409E+11
9.64E-16,1.21884E-09,1.46828E+11
5.03E-16,1.24972E-09,2.00738E+11
8.83E-16,1.39957E-09,1.43167E+11
8.81E-16,1.35534E-09,1.45649E+11
7.88E-16,1.54432E-09,1.44274E+11
8.90E-16,1.19761E-09,1.54159E+11
9.65E-16,1.4983E-09,1.3236E+11
9.31E-16,1.26517E-09,1.46646E+11
8.57E-16,1.36798E-09,1.46991E+11
1.11E-15,1.79053E-09,1.12893E+11
8.21E-16,1.59143E-09,1.39237E+11
7.44E-16,1.81494E-09,1.36963E+11
1.18E-15,1.5083E-09,1.19299E+11
1.46E-15,1.23734E-09,1.18413E+11
7.65E-16,1.84166E-09,1.34086E+11
1.30E-15,1.79684E-09,1.04134E+11
5.86E-16,1.4612E-09,1.71995E+11
1.03E-15,1.50203E-09,1.27956E+11
1.16E-15,1.25691E-09,1.31807E+11
9.92E-16,1.63989E-09,1.24783E+11
1.04E-15,1.77498E-09,1.1714E+11
1.06E-15,1.25679E-09,1.37891E+11
1.11E-15,1.65622E-09,1.17381E+11
1.16E-15,1.33448E-09,1.27919E+11
9.99E-16,1.2468E-09,1.42607E+11
7.12E-16,1.45631E-09,1.56298E+11
9.80E-16,1.33447E-09,1.39172E+11
1.03E-15,1.41029E-09,1.32053E+11
8.78E-16,1.2756E-09,1.50389E+11
9.92E-16,1.84309E-09,1.17704E+11
8.68E-16,1.34127E-09,1.47503E+11
1.21E-15,1.31028E-09,1.264E+11
6.63E-16,1.5439E-09,1.57309E+11
9.70E-16,1.26951E-09,1.43422E+11
6.75E-16,1.36174E-09,1.66005E+11
8.81E-16,1.26745E-09,1.50614E+11
9.20E-16,1.28567E-09,1.46339E+11
1.33E-15,1.3535E-09,1.18622E+11
9.11E-16,1.27503E-09,1.47673E+11
8.33E-16,1.34467E-09,1.5038E+11
1.18E-15,1.23623E-09,1.31774E+11
8.79E-16,1.36054E-09,1.45536E+11
1.28E-15,1.27273E-09,1.24694E+11
9.16E-16,1.41093E-09,1.39997E+11
7.12E-16,1.2449E-09,1.69049E+11
1.26E-15,1.24366E-09,1.2714E+11
7.17E-16,1.37173E-09,1.60482E+11
8.08E-16,1.46366E-09,1.46351E+11
9.14E-16,1.37074E-09,1.4219E+11
7.55E-16,1.41017E-09,1.54245E+11
1.23E-15,1.49896E-09,1.17212E+11
7.63E-16,1.47024E-09,1.50267E+11
1.27E-15,1.88758E-09,1.02793E+11
1.20E-15,1.32812E-09,1.2607E+11
9.89E-16,1.51856E-09,1.29869E+11
1.35E-15,1.662E-09,1.06252E+11
1.38E-15,1.30296E-09,1.1869E+11
9.03E-16,1.75049E-09,1.26589E+11
7.62E-16,1.29787E-09,1.60039E+11
1.11E-15,1.40999E-09,1.27218E+11
8.53E-16,1.30218E-09,1.51012E+11
1.07E-15,1.51338E-09,1.2507E+11
1.14E-15,1.42914E-09,1.2469E+11
1.14E-15,1.54511E-09,1.19919E+11
8.61E-16,1.70957E-09,1.31182E+11
7.93E-16,1.29703E-09,1.56931E+11
4.02E-16,1.33539E-09,2.17222E+11
1.03E-15,1.83188E-09,1.15865E+11
6.60E-16,1.678E-09,1.51235E+11
5.82E-16,1.83712E-09,1.53918E+11
7.10E-16,1.45643E-09,1.56511E+11
9.87E-16,1.64052E-09,1.25075E+11
1.49E-15,1.48433E-09,1.07019E+11
5.71E-16,1.24255E-09,1.88949E+11
8.63E-16,1.65632E-09,1.3312E+11
5.44E-16,1.33929E-09,1.86459E+11
1.18E-15,1.73724E-09,1.1116E+11
1.04E-15,1.6194E-09,1.22638E+11
9.15E-16,1.59823E-09,1.3161E+11
1.92E-15,1.59371E-09,90984016871
8.58E-16,1.98097E-09,1.22078E+11
1.11E-15,1.29661E-09,1.32664E+11
6.11E-16,1.25157E-09,1.82E+11
6.74E-16,1.2643E-09,1.72411E+11
1.43E-15,1.35965E-09,1.1414E+11
1.52E-15,1.43187E-09,1.07881E+11
1.28E-15,1.55638E-09,1.1276E+11
1.05E-15,1.2821E-09,1.37172E+11
7.17E-16,1.82069E-09,1.39297E+11
8.87E-16,1.57815E-09,1.34519E+11
9.28E-16,1.68274E-09,1.27361E+11
1.87E-15,1.26615E-09,1.03432E+11
8.62E-16,1.27927E-09,1.5156E+11
1.05E-15,1.72691E-09,1.18193E+11
1.16E-15,1.77695E-09,1.10855E+11
8.01E-16,1.57829E-09,1.4155E+11
1.19E-15,1.40404E-09,1.23128E+11
1.33E-15,1.56793E-09,1.10213E+11
1.21E-15,1.92815E-09,1.04197E+11
9.09E-16,1.46328E-09,1.37998E+11
1.25E-15,1.35421E-09,1.22327E+11
7.18E-16,1.79216E-09,1.40304E+11
1.30E-15,1.41809E-09,1.17218E+11
9.25E-16,1.43238E-09,1.38268E+11
6.14E-16,1.42262E-09,1.70291E+11
1.32E-15,1.57787E-09,1.1028E+11
1.06E-15,1.27772E-09,1.36757E+11
1.46E-15,1.31131E-09,1.15025E+11
6.26E-16,1.41688E-09,1.68992E+11
7.76E-16,1.58756E-09,1.43392E+11
7.11E-16,1.7256E-09,1.43686E+11
1.01E-15,1.42054E-09,1.32872E+11
8.15E-16,1.65013E-09,1.3724E+11
9.01E-16,1.50653E-09,1.36606E+11
9.95E-16,1.48264E-09,1.31036E+11
1.18E-15,1.45902E-09,1.21297E+11
7.85E-16,1.32762E-09,1.55901E+11
7.65E-16,1.6547E-09,1.41459E+11
8.16E-16,1.6724E-09,1.3624E+11
5.22E-16,1.36604E-09,1.88475E+11
1.25E-15,1.42987E-09,1.19047E+11
7.59E-16,1.53938E-09,1.4724E+11
5.51E-16,1.33992E-09,1.85227E+11
7.85E-16,1.30788E-09,1.57073E+11
7.44E-16,1.34564E-09,1.59063E+11
8.52E-16,1.87463E-09,1.25934E+11
1.31E-15,1.28239E-09,1.22793E+11
5.13E-16,1.42626E-09,1.86064E+11
9.93E-16,1.60976E-09,1.25882E+11
4.64E-16,1.62525E-09,1.83274E+11
5.75E-16,1.9229E-09,1.51359E+11
7.72E-16,1.36984E-09,1.54767E+11
7.47E-16,1.31559E-09,1.60546E+11
8.89E-16,1.34677E-09,1.45453E+11
5.96E-16,1.42331E-09,1.72802E+11
9.18E-16,1.29667E-09,1.45876E+11
1.19E-15,2.00614E-09,1.03007E+11
8.70E-16,1.51177E-09,1.38777E+11
1.14E-15,2.04175E-09,1.0432E+11
9.49E-16,1.57622E-09,1.3013E+11
8.93E-16,1.31326E-09,1.46967E+11
1.32E-15,1.36417E-09,1.18604E+11
7.16E-16,1.52777E-09,1.52172E+11
1.33E-15,1.49467E-09,1.12881E+11
9.14E-16,1.29158E-09,1.46482E+11
6.72E-16,1.7844E-09,1.45342E+11
1.04E-15,1.6748E-09,1.20593E+11
8.95E-16,1.33884E-09,1.45393E+11
8.02E-16,1.39293E-09,1.5058E+11
9.15E-16,1.39155E-09,1.41046E+11
8.70E-16,1.85376E-09,1.25324E+11
7.65E-16,1.48087E-09,1.49531E+11
1.08E-15,1.46056E-09,1.26721E+11
7.90E-16,1.34908E-09,1.54166E+11
1.18E-15,1.29802E-09,1.28599E+11
9.57E-16,1.34954E-09,1.40046E+11
1.32E-15,1.45372E-09,1.14893E+11
7.98E-16,1.51397E-09,1.44797E+11
1.26E-15,1.47886E-09,1.16593E+11
1.24E-15,1.53845E-09,1.1523E+11
1.07E-15,1.70127E-09,1.17962E+11
1.16E-15,1.57144E-09,1.17881E+11
5.15E-16,1.54588E-09,1.78373E+11
8.63E-16,1.80441E-09,1.2754E+11
7.08E-16,1.6511E-09,1.47203E+11
1.14E-15,1.77509E-09,1.11881E+11
7.95E-16,1.33262E-09,1.54626E+11
1.07E-15,1.39483E-09,1.30277E+11
1.26E-15,1.60137E-09,1.12044E+11
5.62E-16,1.74986E-09,1.60491E+11
1.23E-15,1.33059E-09,1.24407E+11
1.76E-15,1.47338E-09,98833981734
8.21E-16,1.31257E-09,1.53316E+11
1.23E-15,1.33339E-09,1.24277E+11
1.28E-15,1.62064E-09,1.10503E+11
7.44E-16,1.3561E-09,1.58449E+11
1.18E-15,1.37325E-09,1.25027E+11
1.81E-15,1.33347E-09,1.02445E+11
8.18E-16,1.32529E-09,1.52858E+11
1.35E-15,1.77408E-09,1.02841E+11
8.61E-16,1.99028E-09,1.2158E+11
6.10E-16,1.36178E-09,1.74623E+11
1.14E-15,1.46559E-09,1.23129E+11
1.06E-15,1.66452E-09,1.19818E+11
7.25E-16,2.06082E-09,1.30206E+11
1.15E-15,1.6499E-09,1.15543E+11
8.31E-16,1.46159E-09,1.44413E+11
1.36E-15,1.37263E-09,1.16486E+11
