Resistance,Capacitance,Inductance,Quality factor
120.597123,9.85E-16,1.06E-09,8.61E+00
97.78232614,1.08E-15,1.55E-09,1.23E+01
72.75221131,1.30E-15,1.22E-09,1.33E+01
63.66156381,9.26E-16,1.12E-09,1.73E+01
71.47993771,1.14E-15,1.05E-09,1.34E+01
71.55563043,8.76E-16,1.24E-09,1.66E+01
64.82866121,1.31E-15,1.31E-09,1.54E+01
69.18621242,7.36E-16,1.02E-09,1.70E+01
98.34642234,7.29E-16,9.73E-10,1.17E+01
113.6541754,1.22E-15,1.16E-09,8.58E+00
52.73542123,5.91E-16,9.62E-10,2.42E+01
42.86601751,9.84E-16,1.07E-09,2.43E+01
64.52125027,1.24E-15,1.20E-09,1.52E+01
70.07469473,1.69E-15,1.05E-09,1.12E+01
65.65500523,7.72E-16,1.38E-09,2.04E+01
89.13122509,1.16E-15,1.02E-09,1.05E+01
64.59297705,1.05E-15,1.03E-09,1.54E+01
84.42859119,1.06E-15,9.78E-10,1.14E+01
59.18914823,1.19E-15,1.15E-09,1.66E+01
61.37457781,4.80E-16,1.31E-09,2.69E+01
66.43905168,1.18E-15,1.35E-09,1.61E+01
73.43898677,1.11E-15,1.46E-09,1.56E+01
77.36671386,9.78E-16,9.88E-10,1.30E+01
70.41199425,8.78E-16,1.06E-09,1.56E+01
71.98536995,8.68E-16,1.08E-09,1.55E+01
83.34690094,1.60E-15,1.08E-09,9.85E+00
98.30466147,1.75E-15,1.16E-09,8.27E+00
88.19929432,1.10E-15,1.13E-09,1.15E+01
72.85802261,6.87E-16,1.05E-09,1.70E+01
56.27532015,7.74E-16,1.02E-09,2.04E+01
70.71174033,8.12E-16,1.23E-09,1.74E+01
71.07238591,9.90E-16,1.31E-09,1.62E+01
124.991185,1.20E-15,1.20E-09,8.00E+00
74.28590398,1.11E-15,1.03E-09,1.30E+01
56.01474451,1.01E-15,1.38E-09,2.09E+01
78.13338811,1.29E-15,1.25E-09,1.26E+01
129.0405306,1.24E-15,1.51E-09,8.55E+00
94.02797126,1.23E-15,1.43E-09,1.15E+01
60.29460224,8.03E-16,1.25E-09,2.07E+01
123.4847546,1.16E-15,1.27E-09,8.49E+00
60.35475859,9.78E-16,1.20E-09,1.83E+01
63.07096979,1.40E-15,9.86E-10,1.33E+01
84.13649832,9.66E-16,1.27E-09,1.36E+01
98.53707946,8.49E-16,1.10E-09,1.16E+01
88.1502706,6.50E-16,1.00E-09,1.41E+01
92.31689281,9.65E-16,1.16E-09,1.19E+01
162.3250745,9.63E-16,1.17E-09,6.78E+00
118.6196802,9.49E-16,1.13E-09,9.20E+00
45.59254806,7.85E-16,1.02E-09,2.50E+01
64.68077312,9.01E-16,1.02E-09,1.65E+01
117.6834988,1.76E-15,1.03E-09,6.51E+00
88.89137571,1.41E-15,1.28E-09,1.07E+01
91.59527698,1.10E-15,1.22E-09,1.15E+01
91.19752279,1.23E-15,1.04E-09,1.01E+01
82.69209412,1.15E-15,1.03E-09,1.15E+01
88.85693401,5.20E-16,1.11E-09,1.65E+01
37.92636006,6.78E-16,1.32E-09,3.68E+01
52.76825643,8.36E-16,1.27E-09,2.33E+01
75.28366162,1.26E-15,1.22E-09,1.31E+01
69.6099762,1.17E-15,1.60E-09,1.68E+01
40.86434259,1.12E-15,1.25E-09,2.59E+01
94.96486229,3.55E-16,1.06E-09,1.82E+01
95.05335204,5.94E-16,1.09E-09,1.43E+01
91.04579572,1.13E-15,1.02E-09,1.05E+01
71.58282178,7.05E-16,1.26E-09,1.87E+01
133.5645733,1.14E-15,1.20E-09,7.68E+00
59.8817583,1.05E-15,1.13E-09,1.73E+01
114.6654353,7.39E-16,1.00E-09,1.02E+01
79.89573447,9.23E-16,1.33E-09,1.50E+01
54.68103103,9.47E-16,1.07E-09,1.94E+01
98.46145302,8.71E-16,1.10E-09,1.14E+01
164.6026024,1.36E-15,1.07E-09,5.40E+00
200.5293879,1.86E-15,1.00E-09,3.66E+00
69.62107093,6.12E-16,1.09E-09,1.92E+01
91.62712348,1.34E-15,1.15E-09,1.01E+01
87.40020177,6.90E-16,1.09E-09,1.44E+01
80.34700513,1.09E-15,1.01E-09,1.20E+01
66.23154513,1.31E-15,1.43E-09,1.58E+01
121.1269963,6.64E-16,1.06E-09,1.04E+01
88.91049882,9.93E-16,1.30E-09,1.29E+01
110.7536314,1.45E-15,1.37E-09,8.79E+00
62.96055517,5.50E-16,1.01E-09,2.15E+01
99.85958255,8.36E-16,1.23E-09,1.21E+01
113.4374934,1.01E-15,1.33E-09,1.01E+01
68.48688521,3.63E-16,1.08E-09,2.52E+01
55.71770808,1.03E-15,1.37E-09,2.07E+01
34.74960546,1.11E-15,1.07E-09,2.83E+01
59.45177964,6.55E-16,1.09E-09,2.17E+01
99.35086969,7.41E-16,1.03E-09,1.19E+01
72.42670729,9.53E-16,1.04E-09,1.44E+01
84.4385376,1.42E-15,1.10E-09,1.04E+01
75.42719293,9.43E-16,1.40E-09,1.62E+01
85.627452,1.26E-15,1.19E-09,1.13E+01
85.47828487,1.31E-15,1.38E-09,1.20E+01
89.50877879,5.36E-16,1.05E-09,1.56E+01
95.17001644,6.97E-16,1.29E-09,1.43E+01
91.63126387,9.22E-16,1.08E-09,1.18E+01
96.35295978,7.12E-16,1.41E-09,1.46E+01
80.04638936,9.25E-16,1.33E-09,1.50E+01
46.9653234,1.59E-15,1.07E-09,1.74E+01
79.98465269,9.23E-16,1.24E-09,1.45E+01
63.93181522,8.11E-16,1.28E-09,1.96E+01
62.05915465,9.38E-16,1.03E-09,1.69E+01
77.61878493,8.64E-16,1.03E-09,1.41E+01
95.72894647,9.00E-16,1.28E-09,1.25E+01
69.15499746,6.71E-16,1.06E-09,1.82E+01
87.27071614,9.47E-16,1.57E-09,1.47E+01
111.8852866,9.18E-16,1.54E-09,1.16E+01
66.77933309,7.50E-16,1.23E-09,1.92E+01
57.30982134,1.32E-15,1.10E-09,1.59E+01
95.62761803,9.64E-16,1.31E-09,1.22E+01
104.9992701,1.15E-15,1.05E-09,9.09E+00
56.90857173,9.20E-16,1.18E-09,1.99E+01
120.2503927,1.14E-15,1.22E-09,8.60E+00
59.24174033,1.03E-15,1.02E-09,1.68E+01
59.48470976,1.09E-15,1.42E-09,1.92E+01
76.83861309,1.14E-15,1.05E-09,1.25E+01
88.48119391,5.84E-16,1.07E-09,1.53E+01
94.9396273,1.32E-15,1.03E-09,9.30E+00
135.7238255,1.13E-15,1.23E-09,7.69E+00
68.81177344,7.43E-16,1.58E-09,2.12E+01
76.6893523,5.50E-16,1.56E-09,2.20E+01
83.77164154,7.69E-16,1.15E-09,1.46E+01
149.4648343,1.42E-15,1.46E-09,6.79E+00
46.57837103,6.91E-16,1.14E-09,2.75E+01
97.9453091,1.35E-15,1.27E-09,9.90E+00
63.54270328,8.72E-16,1.09E-09,1.76E+01
76.70014849,5.75E-16,1.05E-09,1.76E+01
82.91388188,7.89E-16,1.05E-09,1.39E+01
82.96525936,7.64E-16,1.24E-09,1.54E+01
94.87587592,1.29E-15,1.15E-09,9.94E+00
166.379778,9.13E-16,1.09E-09,6.58E+00
58.24734548,8.86E-16,1.05E-09,1.87E+01
84.70059335,4.85E-16,1.12E-09,1.79E+01
87.37201472,8.05E-16,1.20E-09,1.40E+01
84.4836412,1.35E-15,1.54E-09,1.26E+01
51.67979215,7.86E-16,1.30E-09,2.49E+01
67.99296121,8.23E-16,1.26E-09,1.82E+01
61.02809217,7.82E-16,1.11E-09,1.95E+01
48.54021206,1.36E-15,1.07E-09,1.83E+01
60.24823525,9.23E-16,1.09E-09,1.80E+01
84.95665174,1.48E-15,1.68E-09,1.25E+01
35.40109319,1.03E-15,1.29E-09,3.17E+01
42.59622434,1.40E-15,1.24E-09,2.21E+01
110.8713987,1.29E-15,1.09E-09,8.27E+00
79.55361242,1.15E-15,1.20E-09,1.28E+01
59.98229692,8.36E-16,1.19E-09,1.99E+01
113.6070082,5.44E-16,1.69E-09,1.55E+01
96.4198637,1.08E-15,1.31E-09,1.14E+01
94.47462985,1.29E-15,1.24E-09,1.04E+01
55.72175074,8.29E-16,1.20E-09,2.16E+01
92.37381144,1.30E-15,1.36E-09,1.11E+01
51.88832823,6.51E-16,1.62E-09,3.04E+01
110.7708735,1.49E-15,1.54E-09,9.19E+00
77.81708153,7.25E-16,1.51E-09,1.85E+01
79.29387938,7.84E-16,1.16E-09,1.53E+01
80.23386819,1.08E-15,1.11E-09,1.26E+01
113.6463294,7.91E-16,1.57E-09,1.24E+01
68.22626981,9.04E-16,1.43E-09,1.84E+01
95.31238626,1.05E-15,1.17E-09,1.11E+01
71.24767308,6.94E-16,1.29E-09,1.91E+01
73.5085259,1.27E-15,1.08E-09,1.25E+01
124.224973,1.40E-15,1.06E-09,7.02E+00
49.28402408,1.35E-15,1.36E-09,2.04E+01
50.72169437,1.16E-15,1.13E-09,1.95E+01
65.72725443,7.51E-16,1.50E-09,2.15E+01
68.36910293,6.03E-16,1.29E-09,2.14E+01
62.07575456,6.40E-16,1.21E-09,2.21E+01
49.49450304,1.15E-15,1.24E-09,2.10E+01
99.50451577,1.26E-15,1.27E-09,1.01E+01
98.87251318,1.23E-15,1.20E-09,9.98E+00
51.56089183,1.16E-15,1.44E-09,2.16E+01
100.4950529,7.61E-16,1.09E-09,1.19E+01
77.50580914,7.70E-16,1.11E-09,1.55E+01
81.74083319,1.38E-15,1.38E-09,1.22E+01
79.87865027,1.12E-15,1.18E-09,1.28E+01
105.7415131,7.44E-16,1.41E-09,1.30E+01
105.8568107,1.02E-15,1.16E-09,1.01E+01
71.96749155,9.23E-16,1.46E-09,1.75E+01
61.00971921,9.23E-16,1.09E-09,1.78E+01
132.2609957,1.20E-15,1.18E-09,7.50E+00
80.2870204,6.41E-16,1.19E-09,1.70E+01
110.7483892,7.84E-16,1.11E-09,1.07E+01
93.38947876,7.86E-16,1.27E-09,1.36E+01
124.1459656,1.13E-15,1.23E-09,8.41E+00
179.0048392,7.73E-16,1.12E-09,6.71E+00
107.4633803,1.17E-15,1.51E-09,1.06E+01
52.49105025,9.05E-16,1.63E-09,2.56E+01
65.27018307,5.76E-16,1.20E-09,2.21E+01
140.7037829,1.03E-15,1.10E-09,7.33E+00
69.69393103,1.52E-15,1.08E-09,1.21E+01
106.8167065,1.29E-15,1.21E-09,9.08E+00
100.4715546,1.12E-15,1.10E-09,9.86E+00
67.35445164,7.80E-16,1.13E-09,1.78E+01
111.4134888,8.03E-16,1.26E-09,1.12E+01
60.43451624,1.22E-15,1.28E-09,1.70E+01
87.37621562,8.28E-16,1.21E-09,1.38E+01
81.99231065,1.11E-15,1.15E-09,1.24E+01
58.93735308,1.34E-15,1.13E-09,1.56E+01
63.59448384,8.76E-16,1.47E-09,2.03E+01
59.76647638,1.71E-15,1.67E-09,1.65E+01
85.65014726,6.59E-16,1.46E-09,1.74E+01
57.35354468,6.65E-16,1.31E-09,2.45E+01
97.59379891,1.10E-15,1.45E-09,1.18E+01
74.81991031,1.01E-15,1.10E-09,1.39E+01
105.9939484,1.03E-15,1.70E-09,1.21E+01
46.6725439,3.56E-16,1.50E-09,4.39E+01
195.3636781,1.09E-15,1.15E-09,5.25E+00
75.4544795,5.99E-16,1.19E-09,1.87E+01
55.42101996,1.23E-15,1.09E-09,1.70E+01
124.5341129,7.02E-16,1.61E-09,1.22E+01
89.02027563,1.19E-15,1.30E-09,1.17E+01
81.44630011,7.40E-16,1.12E-09,1.51E+01
105.960675,1.07E-15,1.55E-09,1.13E+01
125.2530302,5.77E-16,1.30E-09,1.20E+01
90.63104476,1.50E-15,1.48E-09,1.10E+01
83.2133387,1.17E-15,1.21E-09,1.22E+01
87.89706738,1.13E-15,1.11E-09,1.13E+01
79.92303705,8.79E-16,1.22E-09,1.47E+01
75.40467621,7.30E-16,1.33E-09,1.79E+01
54.81078509,8.89E-16,1.24E-09,2.15E+01
88.03333298,1.13E-15,1.35E-09,1.24E+01
87.37781395,1.25E-15,1.15E-09,1.10E+01
67.75422256,9.39E-16,1.45E-09,1.84E+01
61.43761477,1.37E-15,1.47E-09,1.69E+01
82.12255891,7.71E-16,1.26E-09,1.56E+01
143.4732705,9.35E-16,1.26E-09,8.10E+00
51.41024817,1.22E-15,1.17E-09,1.90E+01
87.89993191,9.90E-16,1.42E-09,1.36E+01
99.99387589,1.20E-15,1.25E-09,1.02E+01
102.307692,1.30E-15,1.56E-09,1.07E+01
78.04315627,7.21E-16,1.14E-09,1.61E+01
83.61367938,1.23E-15,1.40E-09,1.28E+01
98.84044806,1.75E-15,1.12E-09,8.09E+00
55.98185813,7.40E-16,1.25E-09,2.33E+01
69.33323153,8.96E-16,1.18E-09,1.65E+01
70.82237001,8.85E-16,1.14E-09,1.60E+01
62.76808561,1.27E-15,1.53E-09,1.75E+01
90.26757323,8.01E-16,1.16E-09,1.33E+01
76.78657127,1.34E-15,1.29E-09,1.28E+01
133.1511388,9.55E-16,1.59E-09,9.69E+00
90.68517274,8.00E-16,1.15E-09,1.32E+01
80.80603381,7.22E-16,1.13E-09,1.55E+01
49.46459678,7.88E-16,1.62E-09,2.90E+01
52.25974762,1.40E-15,1.42E-09,1.93E+01
57.33426153,1.40E-15,1.23E-09,1.63E+01
112.5354325,8.33E-16,1.61E-09,1.24E+01
104.082474,1.53E-15,1.60E-09,9.83E+00
138.3944178,8.91E-16,1.33E-09,8.81E+00
95.67638527,8.38E-16,1.12E-09,1.21E+01
88.18738668,1.08E-15,1.18E-09,1.19E+01
100.4147232,8.43E-16,1.78E-09,1.45E+01
99.0938933,7.60E-16,1.55E-09,1.44E+01
78.22916915,1.34E-15,1.19E-09,1.20E+01
79.73839693,1.15E-15,1.50E-09,1.43E+01
142.8161478,1.01E-15,1.35E-09,8.10E+00
79.93949723,9.73E-16,1.73E-09,1.67E+01
80.31887663,1.06E-15,1.35E-09,1.41E+01
97.33486902,1.10E-15,1.22E-09,1.08E+01
58.26885798,7.13E-16,1.14E-09,2.17E+01
87.00462677,9.71E-16,1.20E-09,1.28E+01
85.35158541,1.29E-15,1.23E-09,1.14E+01
113.0943899,7.42E-16,1.39E-09,1.21E+01
132.6524867,1.05E-15,1.49E-09,8.98E+00
145.5890366,7.37E-16,1.33E-09,9.24E+00
80.79713245,1.70E-15,1.27E-09,1.07E+01
48.57257469,8.55E-16,1.40E-09,2.63E+01
132.524955,1.01E-15,1.32E-09,8.63E+00
88.55784753,9.02E-16,1.46E-09,1.43E+01
74.30491483,7.41E-16,1.46E-09,1.89E+01
64.01013262,1.13E-15,1.55E-09,1.83E+01
96.85478577,6.37E-16,1.20E-09,1.42E+01
96.39059358,7.48E-16,1.38E-09,1.41E+01
76.03555299,1.19E-15,1.52E-09,1.49E+01
67.27240505,7.66E-16,1.26E-09,1.91E+01
50.20332525,1.50E-15,1.29E-09,1.84E+01
60.46071117,1.17E-15,1.18E-09,1.66E+01
80.71115953,7.76E-16,1.26E-09,1.58E+01
142.8810099,5.98E-16,1.28E-09,1.03E+01
72.45383772,5.75E-16,1.28E-09,2.06E+01
52.42571488,8.81E-16,1.41E-09,2.41E+01
74.18161202,9.72E-16,1.15E-09,1.47E+01
88.06513285,1.19E-15,1.16E-09,1.12E+01
82.80034046,9.43E-16,1.25E-09,1.39E+01
52.43239607,1.05E-15,1.22E-09,2.05E+01
137.1166764,9.08E-16,1.22E-09,8.45E+00
130.054933,1.07E-15,1.51E-09,9.14E+00
75.6151373,9.41E-16,1.61E-09,1.73E+01
78.32099467,9.09E-16,1.62E-09,1.71E+01
79.2164495,9.57E-16,1.25E-09,1.44E+01
78.21071147,8.75E-16,1.46E-09,1.65E+01
60.13064594,1.14E-15,1.15E-09,1.67E+01
57.33109301,8.84E-16,1.31E-09,2.13E+01
47.77348083,1.05E-15,1.18E-09,2.22E+01
87.93324654,6.98E-16,1.17E-09,1.47E+01
47.55062482,8.17E-16,1.69E-09,3.02E+01
121.5144081,9.44E-16,1.40E-09,1.00E+01
90.8327572,1.03E-15,1.66E-09,1.40E+01
71.60149265,8.94E-16,1.63E-09,1.89E+01
122.6963932,7.06E-16,1.20E-09,1.06E+01
59.62128209,1.57E-15,1.51E-09,1.64E+01
92.35762298,6.52E-16,1.74E-09,1.77E+01
117.8369097,5.80E-16,1.21E-09,1.23E+01
111.4253223,9.44E-16,1.30E-09,1.05E+01
97.94157471,1.47E-15,1.18E-09,9.15E+00
72.06734999,9.45E-16,1.81E-09,1.92E+01
45.6660918,8.44E-16,1.17E-09,2.58E+01
57.68832538,7.88E-16,1.63E-09,2.49E+01
104.405531,8.49E-16,1.31E-09,1.19E+01
62.8291327,5.67E-16,1.45E-09,2.54E+01
64.95586605,8.65E-16,1.61E-09,2.10E+01
44.54930082,6.67E-16,1.33E-09,3.16E+01
62.63994768,1.10E-15,1.41E-09,1.81E+01
74.36350953,9.54E-16,1.26E-09,1.54E+01
119.7695864,5.98E-16,1.56E-09,1.35E+01
113.8029372,6.65E-16,1.26E-09,1.21E+01
42.82479892,9.26E-16,1.75E-09,3.21E+01
92.84765548,1.44E-15,1.33E-09,1.03E+01
232.5626097,6.74E-16,1.19E-09,5.73E+00
78.01176563,9.80E-16,1.36E-09,1.51E+01
52.97855893,9.23E-16,1.44E-09,2.36E+01
44.35072097,9.45E-16,1.57E-09,2.90E+01
93.73199743,7.90E-16,1.63E-09,1.53E+01
80.16186481,8.47E-16,1.38E-09,1.59E+01
67.76427838,1.20E-15,1.52E-09,1.66E+01
73.01804985,1.20E-15,1.58E-09,1.57E+01
97.71355162,9.21E-16,1.40E-09,1.26E+01
75.19449459,1.10E-15,1.29E-09,1.44E+01
55.86130605,1.04E-15,1.36E-09,2.05E+01
95.2798878,8.51E-16,1.22E-09,1.26E+01
73.83697426,6.49E-16,1.27E-09,1.89E+01
90.26079699,1.29E-15,1.19E-09,1.06E+01
101.0979509,9.02E-16,1.33E-09,1.20E+01
75.72803607,1.16E-15,1.30E-09,1.40E+01
53.73535256,1.06E-15,1.37E-09,2.12E+01
98.1229034,7.91E-16,1.25E-09,1.28E+01
65.18021672,9.73E-16,1.38E-09,1.83E+01
57.1446027,1.29E-15,1.22E-09,1.70E+01
138.9863447,7.74E-16,1.23E-09,9.08E+00
77.91425539,1.63E-15,1.24E-09,1.12E+01
86.15215417,1.13E-15,1.19E-09,1.19E+01
85.19532108,1.15E-15,1.23E-09,1.22E+01
110.8333932,1.33E-15,1.55E-09,9.74E+00
87.44346425,7.62E-16,1.80E-09,1.76E+01
70.04778247,1.26E-15,1.35E-09,1.48E+01
84.56259385,6.79E-16,1.28E-09,1.62E+01
46.57685331,1.50E-15,1.27E-09,1.98E+01
105.5192261,8.96E-16,1.20E-09,1.10E+01
127.4511716,7.72E-16,1.60E-09,1.13E+01
151.4820081,1.15E-15,1.23E-09,6.83E+00
90.9318312,1.07E-15,1.20E-09,1.17E+01
68.08508264,1.51E-15,1.39E-09,1.41E+01
85.80135405,6.92E-16,1.31E-09,1.60E+01
48.4401513,1.14E-15,1.27E-09,2.18E+01
40.24242771,7.91E-16,1.87E-09,3.82E+01
94.54666523,9.84E-16,1.28E-09,1.21E+01
48.63710212,9.80E-16,1.20E-09,2.27E+01
68.0003233,7.69E-16,1.44E-09,2.01E+01
62.23622475,1.25E-15,1.42E-09,1.71E+01
69.5169563,6.28E-16,1.22E-09,2.00E+01
106.3990545,8.03E-16,1.38E-09,1.23E+01
60.06100112,9.64E-16,1.22E-09,1.87E+01
150.1843959,5.03E-16,1.25E-09,1.05E+01
84.84774148,8.83E-16,1.40E-09,1.48E+01
66.72609002,8.81E-16,1.36E-09,1.86E+01
88.43305611,7.88E-16,1.54E-09,1.58E+01
127.2188902,8.90E-16,1.20E-09,9.12E+00
93.92582959,9.65E-16,1.50E-09,1.33E+01
99.51665701,9.31E-16,1.27E-09,1.17E+01
96.74043581,8.57E-16,1.37E-09,1.31E+01
100.4798001,1.11E-15,1.79E-09,1.26E+01
79.44260334,8.21E-16,1.59E-09,1.75E+01
94.65380925,7.44E-16,1.81E-09,1.65E+01
79.44980115,1.18E-15,1.51E-09,1.42E+01
77.18310076,1.46E-15,1.24E-09,1.19E+01
69.79541073,7.65E-16,1.84E-09,2.22E+01
79.64145802,1.30E-15,1.80E-09,1.48E+01
101.192199,5.86E-16,1.46E-09,1.56E+01
88.02215278,1.03E-15,1.50E-09,1.37E+01
94.77434474,1.16E-15,1.26E-09,1.10E+01
66.80780393,9.92E-16,1.64E-09,1.92E+01
66.44782529,1.04E-15,1.77E-09,1.97E+01
75.98668543,1.06E-15,1.26E-09,1.43E+01
86.80840175,1.11E-15,1.66E-09,1.41E+01
71.17158141,1.16E-15,1.33E-09,1.51E+01
86.94447782,9.99E-16,1.25E-09,1.28E+01
66.70372207,7.12E-16,1.46E-09,2.14E+01
77.94151967,9.80E-16,1.33E-09,1.50E+01
93.50252046,1.03E-15,1.41E-09,1.25E+01
80.72460081,8.78E-16,1.28E-09,1.49E+01
62.91540194,9.92E-16,1.84E-09,2.17E+01
72.62258422,8.68E-16,1.34E-09,1.71E+01
77.25855067,1.21E-15,1.31E-09,1.35E+01
91.17136856,6.63E-16,1.54E-09,1.67E+01
97.96599713,9.70E-16,1.27E-09,1.17E+01
85.28097457,6.75E-16,1.36E-09,1.67E+01
99.34576287,8.81E-16,1.27E-09,1.21E+01
90.07696252,9.20E-16,1.29E-09,1.31E+01
133.9078171,1.33E-15,1.35E-09,7.53E+00
94.08397636,9.11E-16,1.28E-09,1.26E+01
77.13910777,8.33E-16,1.34E-09,1.65E+01
111.0159866,1.18E-15,1.24E-09,9.22E+00
68.58601123,8.79E-16,1.36E-09,1.81E+01
57.75518989,1.28E-15,1.27E-09,1.73E+01
107.3991037,9.16E-16,1.41E-09,1.16E+01
50.82807332,7.12E-16,1.24E-09,2.60E+01
61.97936504,1.26E-15,1.24E-09,1.60E+01
72.24553774,7.17E-16,1.37E-09,1.91E+01
69.73908248,8.08E-16,1.46E-09,1.93E+01
88.0758947,9.14E-16,1.37E-09,1.39E+01
140.2173051,7.55E-16,1.41E-09,9.75E+00
118.8301862,1.23E-15,1.50E-09,9.29E+00
105.7163452,7.63E-16,1.47E-09,1.31E+01
124.3022486,1.27E-15,1.89E-09,9.81E+00
86.70725622,1.20E-15,1.33E-09,1.21E+01
78.80347074,9.89E-16,1.52E-09,1.57E+01
110.836972,1.35E-15,1.66E-09,1.00E+01
67.64071021,1.38E-15,1.30E-09,1.44E+01
60.29169249,9.03E-16,1.75E-09,2.31E+01
54.74349925,7.62E-16,1.30E-09,2.38E+01
83.55102756,1.11E-15,1.41E-09,1.35E+01
49.85108985,8.53E-16,1.30E-09,2.48E+01
59.36075756,1.07E-15,1.51E-09,2.00E+01
73.34087409,1.14E-15,1.43E-09,1.53E+01
145.9117245,1.14E-15,1.55E-09,7.98E+00
84.45011437,8.61E-16,1.71E-09,1.67E+01
94.81348956,7.93E-16,1.30E-09,1.35E+01
100.0436574,4.02E-16,1.34E-09,1.82E+01
80.1499437,1.03E-15,1.83E-09,1.66E+01
45.9437057,6.60E-16,1.68E-09,3.47E+01
100.0693183,5.82E-16,1.84E-09,1.78E+01
304.8642822,7.10E-16,1.46E-09,4.70E+00
76.60555658,9.87E-16,1.64E-09,1.68E+01
109.0674075,1.49E-15,1.48E-09,9.15E+00
88.45506638,5.71E-16,1.24E-09,1.67E+01
106.6029275,8.63E-16,1.66E-09,1.30E+01
70.26875995,5.44E-16,1.34E-09,2.23E+01
126.3631655,1.18E-15,1.74E-09,9.60E+00
75.84901402,1.04E-15,1.62E-09,1.65E+01
78.00378212,9.15E-16,1.60E-09,1.69E+01
72.50321471,1.92E-15,1.59E-09,1.26E+01
71.87671194,8.58E-16,1.98E-09,2.11E+01
51.7842105,1.11E-15,1.30E-09,2.09E+01
71.68630907,6.11E-16,1.25E-09,2.00E+01
107.6010357,6.74E-16,1.26E-09,1.27E+01
86.99202227,1.43E-15,1.36E-09,1.12E+01
94.45965288,1.52E-15,1.43E-09,1.03E+01
70.63100301,1.28E-15,1.56E-09,1.56E+01
79.51922796,1.05E-15,1.28E-09,1.39E+01
116.7110249,7.17E-16,1.82E-09,1.37E+01
79.46730624,8.87E-16,1.58E-09,1.68E+01
65.33669101,9.28E-16,1.68E-09,2.06E+01
44.65389345,1.87E-15,1.27E-09,1.84E+01
51.0230241,8.62E-16,1.28E-09,2.39E+01
83.67912433,1.05E-15,1.73E-09,1.53E+01
93.97237363,1.16E-15,1.78E-09,1.32E+01
106.6835935,8.01E-16,1.58E-09,1.32E+01
114.8196854,1.19E-15,1.40E-09,9.46E+00
111.4549294,1.33E-15,1.57E-09,9.74E+00
