Wire-Length,Wire-Width,Temperature,Resistance
7.26E-06,7.53E-08,62.05717864,162.3250745
5.90E-06,7.97E-08,59.11527032,118.6196802
4.06E-06,1.26E-07,32.37821588,45.59254806
4.37E-06,1.12E-07,65.3064991,64.68077312
5.57E-06,6.89E-08,33.54699828,117.6834988
5.09E-06,8.37E-08,36.86211589,88.89137571
5.71E-06,9.02E-08,54.62651023,91.59527698
6.17E-06,1.03E-07,65.88364992,91.19752279
4.66E-06,7.66E-08,21.71712325,82.69209412
5.40E-06,9.99E-08,55.02448161,88.85693401
3.40E-06,1.37E-07,50.41457912,37.92636006
3.86E-06,1.16E-07,43.95000962,52.76825643
5.53E-06,1.20E-07,67.20773047,75.28366162
5.20E-06,1.18E-07,40.78528717,69.6099762
3.17E-06,1.05E-07,37.19462945,40.86434259
5.98E-06,1.07E-07,52.62640189,94.96486229
5.05E-06,8.18E-08,59.48789602,95.05335204
4.14E-06,7.13E-08,58.45335813,91.04579572
5.28E-06,1.11E-07,48.8802346,71.58282178
5.15E-06,7.11E-08,72.68831419,133.5645733
4.41E-06,1.17E-07,47.92341459,59.8817583
7.75E-06,1.04E-07,29.10198634,114.6654353
6.35E-06,1.14E-07,39.55413119,79.89573447
4.65E-06,1.30E-07,41.23349471,54.68103103
5.85E-06,1.05E-07,85.42276963,98.46145302
7.68E-06,7.00E-08,38.30613885,164.6026024
5.44E-06,4.58E-08,59.72454072,200.5293879
3.38E-06,8.34E-08,24.0923139,69.62107093
5.51E-06,9.26E-08,40.54934358,91.62712348
4.59E-06,8.20E-08,62.828715,87.40020177
6.35E-06,1.27E-07,57.16655238,80.34700513
3.74E-06,8.86E-08,44.72275774,66.23154513
3.60E-06,5.01E-08,43.43454632,121.1269963
5.29E-06,9.35E-08,38.47646688,88.91049882
5.91E-06,8.78E-08,51.20534417,110.7536314
4.07E-06,9.90E-08,47.56312265,62.96055517
6.08E-06,8.42E-08,31.93367021,99.85958255
4.99E-06,7.53E-08,62.16125594,113.4374934
4.48E-06,1.00E-07,59.2505789,68.48688521
4.21E-06,1.11E-07,48.92376772,55.71770808
3.81E-06,1.54E-07,50.88226502,34.74960546
4.17E-06,1.23E-07,60.05805004,59.45177964
5.69E-06,9.61E-08,63.94004718,99.35086969
4.48E-06,9.16E-08,30.1962135,72.42670729
5.82E-06,1.10E-07,41.62791251,84.4385376
5.36E-06,1.24E-07,73.64733015,75.42719293
5.87E-06,9.86E-08,41.77875443,85.627452
5.29E-06,1.07E-07,85.75938285,85.47828487
5.40E-06,9.65E-08,43.7564273,89.50877879
4.83E-06,8.34E-08,61.68986284,95.17001644
5.32E-06,9.52E-08,52.86360094,91.63126387
5.49E-06,8.89E-08,48.57340384,96.35295978
6.05E-06,1.15E-07,50.29692898,80.04638936
3.84E-06,1.21E-07,34.09009418,46.9653234
5.06E-06,1.05E-07,61.47258505,79.98465269
4.78E-06,1.17E-07,53.94216555,63.93181522
4.63E-06,1.28E-07,57.28503572,62.05915465
5.63E-06,1.12E-07,44.41636404,77.61878493
6.13E-06,1.03E-07,53.78636779,95.72894647
4.22E-06,1.02E-07,50.31010219,69.15499746
4.25E-06,8.29E-08,58.39122192,87.27071614
5.52E-06,8.90E-08,60.81236038,111.8852866
4.66E-06,1.08E-07,42.12269986,66.77933309
3.99E-06,1.05E-07,33.33622633,57.30982134
5.31E-06,8.50E-08,47.00791488,95.62761803
6.63E-06,1.08E-07,61.94836138,104.9992701
4.70E-06,1.32E-07,59.53203791,56.90857173
6.64E-06,7.52E-08,27.87650511,120.2503927
4.58E-06,1.18E-07,49.38368784,59.24174033
5.19E-06,1.31E-07,38.39097722,59.48470976
5.20E-06,1.05E-07,45.39104271,76.83861309
6.10E-06,1.05E-07,42.33332346,88.48119391
4.95E-06,8.26E-08,51.69131887,94.9396273
3.59E-06,4.37E-08,38.83804376,135.7238255
4.47E-06,9.59E-08,45.86714618,68.81177344
5.62E-06,1.29E-07,76.69027213,76.6893523
4.69E-06,9.37E-08,71.22544022,83.77164154
6.44E-06,6.27E-08,23.35673025,149.4648343
3.13E-06,9.71E-08,51.00348949,46.57837103
5.79E-06,9.78E-08,57.0064439,97.9453091
4.28E-06,1.03E-07,56.98258713,63.54270328
5.17E-06,1.00E-07,62.50366245,76.70014849
5.87E-06,1.18E-07,87.99095938,82.91388188
6.26E-06,1.31E-07,54.35765558,82.96525936
3.53E-06,4.91E-08,48.35928152,94.87587592
5.66E-06,5.51E-08,45.89643941,166.379778
4.81E-06,1.27E-07,51.61297944,58.24734548
5.15E-06,9.68E-08,53.42260132,84.70059335
4.39E-06,9.31E-08,56.19511095,87.37201472
4.63E-06,8.83E-08,53.74709115,84.4836412
5.02E-06,1.34E-07,24.32000881,51.67979215
4.16E-06,9.51E-08,60.33017452,67.99296121
4.25E-06,1.16E-07,43.42302894,61.02809217
4.10E-06,1.28E-07,30.39432542,48.54021206
4.56E-06,1.20E-07,49.70818827,60.24823525
7.13E-06,1.29E-07,38.89405324,84.95665174
1.40E-06,7.45E-08,57.27556152,35.40109319
3.57E-06,1.28E-07,40.69542512,42.59622434
5.92E-06,9.12E-08,51.79837022,110.8713987
3.71E-06,7.60E-08,47.05484348,79.55361242
4.42E-06,1.26E-07,48.41004438,59.98229692
6.22E-06,9.37E-08,60.39432685,113.6070082
5.62E-06,9.31E-08,53.09068676,96.4198637
5.39E-06,9.88E-08,52.14693829,94.47462985
4.34E-06,1.19E-07,60.06775138,55.72175074
3.86E-06,7.80E-08,62.18618298,92.37381144
4.02E-06,1.10E-07,34.93259541,51.88832823
6.82E-06,9.26E-08,32.46022642,110.7708735
4.62E-06,9.30E-08,55.99940235,77.81708153
5.26E-06,1.01E-07,51.3344066,79.29387938
4.09E-06,8.05E-08,36.83313059,80.23386819
5.87E-06,8.19E-08,57.77293777,113.6463294
5.05E-06,1.04E-07,43.20935582,68.22626981
5.39E-06,9.08E-08,42.76025241,95.31238626
4.68E-06,9.85E-08,30.19923715,71.24767308
5.27E-06,1.26E-07,67.91743584,73.5085259
7.21E-06,9.34E-08,44.90050567,124.224973
4.13E-06,1.45E-07,64.22030769,49.28402408
3.16E-06,9.19E-08,28.38566908,50.72169437
4.62E-06,1.18E-07,54.00654897,65.72725443
4.43E-06,1.01E-07,49.80014423,68.36910293
3.19E-06,9.51E-08,66.11040401,62.07575456
4.14E-06,1.14E-07,36.41430913,49.49450304
4.89E-06,9.16E-08,57.16699146,99.50451577
5.87E-06,8.38E-08,46.02863796,98.87251318
4.27E-06,1.39E-07,58.30630973,51.56089183
5.17E-06,8.70E-08,50.52004438,100.4950529
4.25E-06,9.59E-08,65.27107517,77.50580914
6.46E-06,1.22E-07,50.67501678,81.74083319
6.12E-06,1.23E-07,55.22420311,79.87865027
5.27E-06,8.60E-08,58.30816487,105.7415131
5.44E-06,9.10E-08,65.1044938,105.8568107
4.44E-06,1.05E-07,52.19275643,71.96749155
4.76E-06,1.10E-07,31.86735103,61.00971921
6.27E-06,8.07E-08,72.86810155,132.2609957
5.67E-06,1.18E-07,50.28085613,80.2870204
6.12E-06,8.86E-08,53.98042787,110.7483892
5.50E-06,1.01E-07,72.86316613,93.38947876
6.97E-06,9.69E-08,42.27633603,124.1459656
5.80E-06,5.86E-08,64.35956488,179.0048392
5.12E-06,8.28E-08,64.85128876,107.4633803
3.04E-06,9.61E-08,51.21889161,52.49105025
4.79E-06,1.08E-07,54.51408961,65.27018307
6.25E-06,8.31E-08,72.82261772,140.7037829
3.04E-06,7.31E-08,50.28721762,69.69393103
5.47E-06,9.21E-08,38.16985331,106.8167065
6.17E-06,9.75E-08,51.13379752,100.4715546
4.71E-06,1.13E-07,66.02728399,67.35445164
5.32E-06,7.09E-08,44.3762114,111.4134888
4.05E-06,1.02E-07,43.96612222,60.43451624
5.14E-06,9.64E-08,44.51510433,87.37621562
4.88E-06,9.27E-08,46.01792657,81.99231065
4.39E-06,1.38E-07,60.72116777,58.93735308
3.99E-06,1.09E-07,57.07508725,63.59448384
4.03E-06,1.22E-07,66.59966836,59.76647638
4.64E-06,8.41E-08,65.55966949,85.65014726
3.74E-06,1.04E-07,49.79970016,57.35354468
5.72E-06,9.21E-08,39.78221976,97.59379891
4.95E-06,1.08E-07,53.5260257,74.81991031
6.11E-06,8.42E-08,46.9003508,105.9939484
3.88E-06,1.27E-07,41.26893436,46.6725439
6.70E-06,4.95E-08,21.38418353,195.3636781
5.65E-06,1.24E-07,51.06675129,75.4544795
3.90E-06,1.05E-07,46.97524483,55.42101996
6.22E-06,7.78E-08,62.97587183,124.5341129
4.65E-06,8.94E-08,47.55350051,89.02027563
5.31E-06,1.01E-07,54.11353825,81.44630011
5.47E-06,9.04E-08,80.85726128,105.960675
5.47E-06,7.42E-08,54.13401156,125.2530302
5.13E-06,9.90E-08,67.78000825,90.63104476
5.51E-06,1.09E-07,69.90922055,83.2133387
4.53E-06,8.93E-08,68.30582841,87.89706738
4.74E-06,8.88E-08,59.90458872,79.92303705
5.80E-06,1.16E-07,39.28936985,75.40467621
3.61E-06,1.00E-07,49.2084152,54.81078509
5.09E-06,9.13E-08,49.53941972,88.03333298
5.15E-06,9.85E-08,59.49683071,87.37781395
4.35E-06,1.04E-07,68.4820889,67.75422256
6.05E-06,1.42E-07,34.41834376,61.43761477
4.45E-06,8.96E-08,48.05162015,82.12255891
7.19E-06,9.07E-08,79.39295981,143.4732705
3.19E-06,1.08E-07,45.25551921,51.41024817
4.90E-06,7.98E-08,21.45306046,87.89993191
4.55E-06,8.00E-08,54.39289326,99.99387589
4.91E-06,8.35E-08,65.43085748,102.307692
4.65E-06,9.80E-08,49.63618113,78.04315627
5.27E-06,9.86E-08,44.31308779,83.61367938
4.65E-06,7.23E-08,44.07441171,98.84044806
3.78E-06,8.99E-08,30.4439745,55.98185813
5.94E-06,1.29E-07,40.2738003,69.33323153
5.06E-06,1.05E-07,37.09307396,70.82237001
5.11E-06,1.25E-07,39.11416408,62.76808561
4.88E-06,8.48E-08,44.92829519,90.26757323
5.30E-06,1.13E-07,45.68550441,76.78657127
5.00E-06,6.92E-08,51.84037783,133.1511388
5.05E-06,9.12E-08,53.24906635,90.68517274
5.23E-06,1.08E-07,53.05210835,80.80603381
3.23E-06,1.15E-07,49.71268986,49.46459678
4.39E-06,1.27E-07,42.04366845,52.25974762
4.52E-06,1.43E-07,60.771878,57.33426153
8.00E-06,1.19E-07,51.62388201,112.5354325
6.15E-06,1.01E-07,58.4132751,104.082474
5.56E-06,6.02E-08,39.5488219,138.3944178
5.73E-06,9.70E-08,53.54125775,95.67638527
4.82E-06,8.37E-08,47.07835842,88.18738668
5.11E-06,8.46E-08,67.74172895,100.4147232
4.69E-06,8.05E-08,51.41296445,99.0938933
4.34E-06,8.83E-08,40.57338358,78.22916915
5.16E-06,1.15E-07,50.175934,79.73839693
7.48E-06,8.49E-08,38.13656636,142.8161478
6.21E-06,1.23E-07,45.33948448,79.93949723
4.78E-06,8.87E-08,50.69863482,80.31887663
4.04E-06,7.21E-08,39.75066192,97.33486902
5.09E-06,1.35E-07,50.95308104,58.26885798
5.91E-06,1.15E-07,45.69959498,87.00462677
3.92E-06,8.11E-08,78.07587063,85.35158541
6.34E-06,8.99E-08,47.16495925,113.0943899
5.29E-06,6.78E-08,64.71488488,132.6524867
6.50E-06,7.97E-08,61.86271727,145.5890366
4.34E-06,8.67E-08,66.63082743,80.79713245
3.78E-06,1.22E-07,53.02915005,48.57257469
6.36E-06,7.13E-08,40.24812998,132.524955
4.45E-06,8.24E-08,36.4860518,88.55784753
5.54E-06,1.29E-07,65.58577094,74.30491483
5.02E-06,1.20E-07,38.43148157,64.01013262
5.65E-06,9.68E-08,57.53390114,96.85478577
5.85E-06,1.06E-07,40.93656745,96.39059358
5.73E-06,1.27E-07,65.57838467,76.03555299
5.40E-06,1.25E-07,39.28531592,67.27240505
4.12E-06,1.30E-07,48.21336977,50.20332525
4.37E-06,1.03E-07,20.97796094,60.46071117
4.80E-06,1.01E-07,59.26807976,80.71115953
5.81E-06,7.00E-08,76.17154911,142.8810099
5.31E-06,1.18E-07,52.61698041,72.45383772
4.12E-06,1.20E-07,63.08125519,52.42571488
4.33E-06,8.70E-08,36.94910847,74.18161202
6.14E-06,1.14E-07,52.8572265,88.06513285
4.72E-06,8.80E-08,32.7153056,82.80034046
4.65E-06,1.51E-07,50.4038378,52.43239607
6.15E-06,7.39E-08,57.44680718,137.1166764
5.94E-06,7.90E-08,61.08527698,130.054933
3.84E-06,9.53E-08,63.56349612,75.6151373
5.47E-06,1.19E-07,69.81051663,78.32099467
3.46E-06,7.57E-08,70.85173258,79.2164495
4.72E-06,1.02E-07,63.97634228,78.21071147
4.20E-06,1.16E-07,72.21695176,60.13064594
4.98E-06,1.33E-07,44.48936896,57.33109301
2.59E-06,9.98E-08,66.63543213,47.77348083
5.67E-06,1.05E-07,60.07317273,87.93324654
3.74E-06,1.24E-07,43.28380342,47.55062482
7.39E-06,9.19E-08,59.36973797,121.5144081
4.44E-06,8.59E-08,44.28553004,90.8327572
4.10E-06,1.02E-07,66.36379864,71.60149265
5.91E-06,8.21E-08,68.11164535,122.6963932
4.33E-06,1.15E-07,44.25291842,59.62128209
7.11E-06,1.23E-07,63.26347719,92.35762298
5.81E-06,8.88E-08,78.37694315,117.8369097
4.77E-06,6.45E-08,57.53790337,111.4253223
5.60E-06,9.42E-08,41.20827202,97.94157471
4.45E-06,1.05E-07,58.01015189,72.06734999
4.31E-06,1.35E-07,44.07071453,45.6660918
3.74E-06,1.02E-07,44.69260581,57.68832538
5.55E-06,8.57E-08,55.25881924,104.405531
4.45E-06,1.09E-07,56.28219361,62.8291327
5.25E-06,1.27E-07,41.56719202,64.95586605
3.40E-06,1.08E-07,40.61036055,44.54930082
4.57E-06,1.22E-07,41.12578058,62.63994768
5.23E-06,1.16E-07,58.85382961,74.36350953
6.91E-06,9.36E-08,51.83767309,119.7695864
6.46E-06,8.24E-08,47.94169066,113.8029372
4.13E-06,1.45E-07,29.33769794,42.82479892
5.75E-06,1.02E-07,70.45087924,92.84765548
5.34E-06,4.68E-08,76.96955728,232.5626097
5.81E-06,1.13E-07,50.56279123,78.01176563
4.21E-06,1.13E-07,45.53895685,52.97855893
2.90E-06,1.08E-07,70.13840228,44.35072097
6.08E-06,9.76E-08,41.34696578,93.73199743
4.68E-06,8.24E-08,17.54566992,80.16186481
4.38E-06,9.92E-08,38.26869379,67.76427838
5.39E-06,1.18E-07,29.27042696,73.01804985
6.39E-06,1.13E-07,51.70092527,97.71355162
5.46E-06,1.18E-07,52.36866728,75.19449459
5.15E-06,1.46E-07,52.63355852,55.86130605
5.60E-06,9.91E-08,60.93408697,95.2798878
4.65E-06,9.52E-08,35.37754547,73.83697426
4.10E-06,8.01E-08,59.69124461,90.26079699
6.41E-06,8.95E-08,35.15195384,101.0979509
4.65E-06,1.06E-07,49.7530071,75.72803607
5.37E-06,1.53E-07,40.50475413,53.73535256
6.46E-06,9.97E-08,54.00208007,98.1229034
4.16E-06,9.42E-08,42.21866932,65.18021672
3.86E-06,1.15E-07,62.24792885,57.1446027
5.74E-06,6.81E-08,52.72802299,138.9863447
5.62E-06,1.09E-07,57.39331696,77.91425539
5.01E-06,1.01E-07,55.07552625,86.15215417
5.30E-06,1.02E-07,50.28669228,85.19532108
6.86E-06,1.04E-07,53.73495959,110.8333932
6.44E-06,1.08E-07,32.43671522,87.44346425
4.80E-06,1.12E-07,45.95065615,70.04778247
4.57E-06,9.79E-08,46.64077766,84.56259385
3.90E-06,1.38E-07,46.18130049,46.57685331
3.93E-06,6.38E-08,35.22345669,105.5192261
6.51E-06,8.97E-08,75.16499109,127.4511716
5.42E-06,7.09E-08,71.69034044,151.4820081
4.64E-06,8.66E-08,42.9986612,90.9318312
2.96E-06,7.13E-08,35.76226883,68.08508264
5.17E-06,9.64E-08,35.06174435,85.80135405
3.11E-06,1.06E-07,64.47124215,48.4401513
3.12E-06,1.13E-07,51.53853147,40.24242771
4.82E-06,8.20E-08,54.34554921,94.54666523
2.77E-06,9.09E-08,45.79265793,48.63710212
4.61E-06,1.03E-07,61.62797989,68.0003233
3.76E-06,9.35E-08,35.04676061,62.23622475
3.77E-06,9.28E-08,60.0198489,69.5169563
5.84E-06,8.49E-08,45.29877105,106.3990545
4.77E-06,1.24E-07,52.5927822,60.06100112
6.99E-06,7.89E-08,60.73345638,150.1843959
5.57E-06,1.04E-07,42.34333061,84.84774148
4.38E-06,1.03E-07,51.78831497,66.72609002
4.95E-06,8.91E-08,54.11309328,88.43305611
8.26E-06,9.51E-08,31.83522184,127.2188902
5.57E-06,9.62E-08,50.82571018,93.92582959
5.99E-06,1.04E-07,73.47500498,99.51665701
4.32E-06,7.77E-08,74.31296938,96.74043581
6.90E-06,1.06E-07,42.51106093,100.4798001
4.93E-06,8.78E-08,46.10623858,79.44260334
5.04E-06,8.91E-08,43.62521807,94.65380925
5.96E-06,1.32E-07,72.94186323,79.44980115
5.57E-06,1.04E-07,23.77506163,77.18310076
2.89E-06,7.47E-08,71.45653518,69.79541073
4.58E-06,9.01E-08,59.26773777,79.64145802
5.75E-06,9.10E-08,48.97447452,101.192199
5.24E-06,9.70E-08,44.85329727,88.02215278
4.82E-06,8.37E-08,42.59764512,94.77434474
4.07E-06,9.93E-08,46.27325158,66.80780393
4.32E-06,1.01E-07,43.89980012,66.44782529
4.47E-06,1.02E-07,67.3476191,75.98668543
6.03E-06,1.16E-07,58.92163693,86.80840175
4.63E-06,1.05E-07,45.80222259,71.17158141
4.89E-06,9.33E-08,56.85052346,86.94447782
4.60E-06,1.08E-07,35.13215022,66.70372207
5.35E-06,1.10E-07,45.72550227,77.94151967
5.30E-06,1.01E-07,57.61154094,93.50252046
4.68E-06,1.00E-07,36.8220908,80.72460081
4.70E-06,1.26E-07,58.59107757,62.91540194
5.28E-06,1.06E-07,32.42329374,72.62258422
5.56E-06,1.23E-07,48.58517369,77.25855067
5.86E-06,1.16E-07,68.48165997,91.17136856
5.08E-06,8.49E-08,50.486519,97.96599713
5.90E-06,1.10E-07,52.17888667,85.28097457
5.20E-06,9.85E-08,69.02499982,99.34576287
5.21E-06,9.19E-08,48.72583327,90.07696252
5.30E-06,6.56E-08,51.63801787,133.9078171
5.36E-06,9.57E-08,62.0050812,94.08397636
4.36E-06,8.91E-08,48.3456163,77.13910777
4.66E-06,8.11E-08,68.25616226,111.0159866
4.16E-06,9.77E-08,31.80545078,68.58601123
4.43E-06,1.18E-07,39.17864534,57.75518989
5.77E-06,9.86E-08,56.32796452,107.3991037
3.38E-06,1.08E-07,31.78646766,50.82807332
4.20E-06,1.08E-07,80.42377043,61.97936504
4.89E-06,1.05E-07,34.12102721,72.24553774
5.44E-06,1.18E-07,45.10195698,69.73908248
4.70E-06,8.66E-08,70.57794172,88.0758947
6.61E-06,7.57E-08,49.78039053,140.2173051
5.24E-06,7.51E-08,53.99094851,118.8301862
5.32E-06,9.53E-08,83.22985823,105.7163452
5.64E-06,8.27E-08,58.29841192,124.3022486
5.69E-06,1.07E-07,61.19048067,86.70725622
3.94E-06,8.78E-08,54.10106571,78.80347074
6.42E-06,1.02E-07,60.64498938,110.836972
4.61E-06,1.03E-07,49.05455708,67.64071021
3.67E-06,1.01E-07,48.03236298,60.29169249
3.24E-06,8.91E-08,29.04276088,54.74349925
5.56E-06,1.08E-07,53.04256853,83.55102756
4.01E-06,1.21E-07,51.69417021,49.85108985
4.49E-06,1.27E-07,49.29213526,59.36075756
4.60E-06,1.02E-07,59.02257111,73.34087409
6.79E-06,7.50E-08,42.96009086,145.9117245
5.51E-06,9.68E-08,31.48524843,84.45011437
6.70E-06,1.09E-07,54.26896511,94.81348956
5.47E-06,1.03E-07,64.34667179,100.0436574
6.18E-06,1.12E-07,28.85635303,80.1499437
3.55E-06,1.18E-07,32.27581101,45.9437057
5.75E-06,9.14E-08,64.37511635,100.0693183
4.70E-06,2.46E-08,48.29396718,304.8642822
5.53E-06,1.26E-07,49.68808021,76.60555658
4.93E-06,8.17E-08,69.10884424,109.0674075
5.94E-06,9.80E-08,39.69952721,88.45506638
6.32E-06,1.01E-07,52.66001494,106.6029275
5.34E-06,1.27E-07,67.97980506,70.26875995
4.81E-06,6.49E-08,54.34148362,126.3631655
4.94E-06,1.05E-07,53.92791508,75.84901402
4.10E-06,8.20E-08,62.72691402,78.00378212
5.46E-06,1.14E-07,23.5412798,72.50321471
5.68E-06,1.18E-07,34.44956476,71.87671194
3.78E-06,1.11E-07,57.70196331,51.7842105
5.09E-06,1.09E-07,45.58578492,71.68630907
5.75E-06,9.52E-08,80.38824226,107.6010357
4.97E-06,9.13E-08,55.71028821,86.99202227
5.65E-06,9.21E-08,49.15546502,94.45965288
4.67E-06,1.02E-07,51.92647471,70.63100301
5.87E-06,1.17E-07,52.06344502,79.51922796
6.14E-06,9.00E-08,52.12741883,116.7110249
5.23E-06,1.09E-07,57.49575886,79.46730624
5.26E-06,1.20E-07,29.09804024,65.33669101
3.93E-06,1.36E-07,46.43399445,44.65389345
4.66E-06,1.31E-07,56.86715659,51.0230241
5.11E-06,9.54E-08,35.71536413,83.67912433
5.17E-06,9.49E-08,43.34124459,93.97237363
7.27E-06,1.11E-07,46.76839026,106.6835935
5.61E-06,8.76E-08,54.41165916,114.8196854
6.75E-06,8.84E-08,43.82356892,111.4549294
3.15E-06,9.84E-08,41.17265537,53.67867703
5.68E-06,1.00E-07,53.70034192,81.81007141
3.34E-06,8.97E-08,53.19496807,62.84824864
4.87E-06,9.93E-08,61.94997483,78.74295522
5.51E-06,1.34E-07,44.73113993,59.23367711
4.62E-06,1.22E-07,80.39344975,66.54721148
3.26E-06,9.81E-08,58.0550277,47.63227337
6.42E-06,1.29E-07,46.4130007,80.75859449
6.05E-06,9.27E-08,58.68764188,111.9793228
4.96E-06,7.58E-08,55.98970955,96.21321442
5.42E-06,1.03E-07,56.47928784,92.72912642
4.52E-06,1.05E-07,64.95378706,84.06409353
5.35E-06,1.09E-07,27.36347944,70.6420734
4.45E-06,1.01E-07,46.45636111,67.74567952
3.67E-06,1.36E-07,59.14534886,47.70886704
5.09E-06,6.98E-08,44.59337463,126.7821086
3.56E-06,9.43E-08,57.8736018,66.05130834
4.83E-06,9.38E-08,59.0742335,89.12095277
5.36E-06,1.19E-07,53.32890125,70.78485107
4.46E-06,8.30E-08,41.0691898,88.59316343
